,Symbol,Name
780,267790,배럴
781,001340,백광산업
782,046310,백금T&A
783,035150,백산
784,331520,밸로프
785,199480,뱅크웨어글로벌
786,438700,버넥트
787,066410,버킷스튜디오
788,002410,범양건영
789,382900,범한퓨얼셀
790,206400,베노티앤알
791,019010,베뉴지
792,177350,베셀
793,457600,벡트
794,424760,벨로크
795,007210,벽산
796,225530,보광산업
797,250000,보라티알
798,002760,보락
799,003850,보령
800,310210,보로노이
801,006910,보성파워텍
802,000890,보해양조
803,226340,본느
804,206950,볼빅
805,008470,부스타
806,003000,부광약품
807,001275,부국증권우
808,001270,부국증권
809,026940,부국철강
810,014470,부방
811,011390,부산산업
812,005030,부산주공
813,338220,뷰노
814,100120,뷰웍스
815,406820,뷰티스킨
816,337930,브랜드엑스코퍼레이션
817,099390,브레인즈컴퍼니
818,064480,브리지텍
819,288330,브릿지바이오테라퓨틱스
820,365900,브이씨
821,089970,브이엠
822,251630,브이원텍
823,018290,브이티
824,478560,블랙야크아이앤씨
825,439580,블루엠텍
826,033560,블루콤
827,191600,블루탑
828,369370,블리츠웨이스튜디오
829,126340,비나텍
830,121800,비덴트
831,082800,비보존 제약
832,318410,비비씨
833,002070,비비안
834,100220,비상교육
835,419540,비스토스
836,146320,비씨엔씨
837,200780,비씨월드제약
838,413640,비아이매트릭스
839,141000,비아트론
840,090460,비에이치
841,083650,비에이치아이
842,139050,BF랩스
843,445360,비엔케이제1호스팩
844,473370,비엔케이제2호스팩
845,065170,비엘팜텍
846,086670,비엠티
847,335890,비올
848,230980,비유테크놀러지
849,126600,BGF에코머티리얼즈
850,082920,비츠로셀
851,054220,비츠로시스
852,042370,비츠로테크
853,050090,비케이홀딩스
854,148780,비큐AI
855,307870,비투엔
856,032850,비트컴퓨터
857,238200,비피도
858,093190,빅솔론
859,065450,빅텍
860,210120,빅텐츠
861,044480,빌리언스
862,005180,빙그레
863,069540,빛과전자
864,072950,빛샘전자
865,266170,뿌리깊은나무들
866,451250,삐아
867,143240,사람인
868,466410,사이냅소프트
869,003960,사조대림
870,008040,사조동아원
871,007160,사조산업
872,014710,사조씨푸드
873,006090,사조오양
874,452430,사피엔반도체
875,419120,산돌
876,062040,산일전기
877,122350,삼기
878,419050,삼기이브이
879,014970,삼륭물산
880,018310,삼목에스폼
881,012210,삼미금속
882,053700,삼보모터스
883,009620,삼보산업
884,023600,삼보판지
885,001470,삼부토건
886,028050,삼성E&A
887,448730,삼성FN리츠
888,006405,삼성SDI우
889,006400,삼성SDI
890,006660,삼성공조
891,425290,삼성스팩6호
892,439250,삼성스팩7호
893,448740,삼성스팩8호
894,468510,삼성스팩9호
895,02826K,삼성물산우B
896,028260,삼성물산
897,207940,삼성바이오로직스
898,032830,삼성생명
899,018260,삼성에스디에스
900,009155,삼성전기우
901,009150,삼성전기
902,005935,삼성전자우
903,005930,삼성전자
904,001360,삼성제약
905,010140,삼성중공업
906,016360,삼성증권
907,068290,삼성출판사
908,029780,삼성카드
909,000815,삼성화재우
910,000810,삼성화재
911,006110,삼아알미늄
912,009300,삼아제약
913,145995,삼양사우
914,145990,삼양사
915,003230,삼양식품
916,002170,삼양통상
917,272550,삼양패키징
918,000075,삼양홀딩스우
919,000070,삼양홀딩스
920,060310,3S
921,002810,삼영무역
922,003720,삼영
923,361670,삼영에스앤씨
924,054540,삼영엠텍
925,065570,삼영이엔씨
926,005680,삼영전자
927,023000,삼원강재
928,004380,삼익THK
929,002450,삼익악기
930,032280,삼일
931,002290,삼일기업공사
932,004440,삼일씨엔에스
933,000520,삼일제약
934,009770,삼정펄프
935,037460,삼지전자
936,032750,삼진
937,054090,삼진엘앤디
938,005500,삼진제약
939,000250,삼천당제약
940,004690,삼천리
941,024950,삼천리자전거
942,038500,삼표시멘트
943,437730,삼현
944,017480,삼현철강
945,010960,삼호개발
946,046390,삼화네트웍스
947,004450,삼화왕관
948,009470,삼화전기
949,011230,삼화전자
950,001820,삼화콘덴서
951,000390,삼화페인트
952,027580,상보
953,038540,상상인
954,452670,상상인제4호스팩
955,001290,상상인증권
956,041650,상신브레이크
957,091580,상신이디피
958,263810,상신전자
959,089980,상아프론테크
960,042940,상지건설
961,042600,새로닉스
962,075180,새론오토모티브
963,107600,새빗켐
964,411080,샌즈랩
965,252990,샘씨엔에스
966,007540,샘표
967,248170,샘표식품
968,378800,샤페론
969,294630,서남
970,038070,서린바이오
971,006730,서부T&D
972,079650,서산
973,100660,서암기계공업
974,007860,서연
975,200880,서연이화
976,019770,서연탑메탈
977,017390,서울가스
978,043710,서울리거
979,092190,서울바이오시스
980,046890,서울반도체
981,004415,서울식품우
982,004410,서울식품
983,063170,서울옥션
984,027040,서울전자통신
985,018680,서울제약
986,021050,서원
987,093920,서원인텍
988,189860,서전기전
989,178320,서진시스템
990,122690,서진오토모티브
991,140070,서플러스글로벌
992,011370,서한
993,065710,서호전기
994,008490,서흥
995,035890,서희건설
996,357550,석경에이티
997,003100,선광
998,007610,선도전기
999,067370,선바이오
1000,217620,선샤인푸드
1001,002820,SUN&L
1002,171090,선익시스템
1003,136490,선진
1004,086710,선진뷰티사이언스
1005,014620,성광벤드
1006,037350,성도이엔지
1007,014915,성문전자우
1008,014910,성문전자
1009,003080,성보화학
1010,004985,성신양회우
1011,004980,성신양회
1012,011300,성안머티리얼스
1013,458650,성우
1014,081580,성우전자
1015,045300,성우테크론
1016,015750,성우하이텍
1017,365340,성일하이텍
1018,000180,성창기업지주
1019,080470,성창오토텍
1020,043260,성호전자
1021,148150,세경하이테크
1022,002420,세기상사
1023,188260,세니젠
1024,053060,세동
1025,340440,세림B&G
1026,017510,세명전기
1027,004365,세방우
1028,004360,세방
1029,004490,세방전지
1030,011560,세보엠이씨
1031,267080,세븐브로이맥주
1032,396300,세아메카닉스
1033,001430,세아베스틸지주
1034,306200,세아제강
1035,003030,세아제강지주
1036,019440,세아특수강
1037,058650,세아홀딩스
1038,013000,세우글로벌
1039,100700,세운메디칼
1040,024830,세원물산
1041,091090,세원이앤씨
1042,021820,세원정공
1043,067830,세이브존I&C
1044,258830,세종메디칼
1045,036630,세종텔레콤
1046,039310,세중
1047,075580,세진중공업
1048,067770,세진티에스
1049,053450,세코닉스
1050,222810,세토피아
1051,252500,세화피앤씨
1052,321370,센서뷰
1053,347000,센코
1054,331920,셀레믹스
1055,471820,셀로맥스사이언스
1056,049180,셀루메드
1057,299660,셀리드
1058,268600,셀리버리
1059,108860,셀바스AI
1060,208370,셀바스헬스케어
1061,318160,셀바이오휴먼텍
1062,308430,셀비온
1063,068270,셀트리온
1064,068760,셀트리온제약
1065,068940,셀피글로벌
1066,060230,소니드
1067,290690,소룩스
1068,950200,소마젠
1069,032680,소프트센
1070,032685,소프트센우
1071,258790,소프트캠프
1072,066910,손오공
1073,33637K,솔루스첨단소재1우
1074,33637L,솔루스첨단소재2우B
1075,336370,솔루스첨단소재
1076,248070,솔루엠
1077,035610,솔본
1078,357780,솔브레인
1079,036830,솔브레인홀딩스
1080,304100,솔트룩스
1081,328380,솔트웨어
1082,004430,송원산업
1083,086980,쇼박스
1084,050960,수산아이앤티
1085,126720,수산인더스트리
1086,017550,수산중공업
1087,084180,수성웹툰
1088,253840,수젠텍
1089,067160,SOOP
1090,298830,슈어소프트테크
1091,236200,슈프리마
1092,094840,슈프리마에이치큐
1093,192440,슈피겐코리아
1094,424960,스마트레이더시스템
1095,099440,스맥
1096,357880,스카이월드와이드
1097,276040,스코넥
1098,159910,스킨앤스킨
1099,204210,스타에스엠리츠
1100,060240,스타코링크
1101,115570,스타플렉스
1102,330730,스톤브릿지벤처스
1103,352090,스톰테크
1104,204630,스튜디오산타클로스
1105,253450,스튜디오드래곤
1106,408900,스튜디오미르
1107,415380,스튜디오삼익
1108,026890,스틱인베스트먼트
1109,013810,스페코
1110,049830,승일
1111,020710,시공테크
1112,033170,시그네틱스
1113,048870,시너지이노베이션
1114,025320,시노펙스
1115,134790,시디즈
1116,269620,시스웍
1117,000480,CR홀딩스
1118,056090,시지메드텍
1119,429270,시지트로닉스
1120,418250,시큐레터
1121,131090,시큐브
1122,232830,시큐센
1123,462870,시프트업
1124,016590,신대양제지
1125,290520,신도기연
1126,029530,신도리코
1127,004970,신라교역
1128,001000,신라섬유
1129,025870,신라에스지
1130,215600,신라젠
1131,065350,신성델타테크
1132,416180,신성에스티
1133,011930,신성이엔지
1134,005390,신성통상
1135,034300,신세계건설
1136,004170,신세계
1137,035510,신세계 I&C
1138,031430,신세계인터내셔날
1139,031440,신세계푸드
1140,006880,신송홀딩스
1141,162300,신스틸
1142,290560,신시웨이
1143,002800,신신제약
1144,005800,신영와코루
1145,001720,신영증권
1146,472220,신영스팩10호
1147,430220,신영스팩8호
